label,text,text_clean
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,yeah if we do have to get a random dude we need to change our info sheets to party &lt;#&gt; /7 never study just to be safe
ham,Is toshiba portege m100 gd?,is toshiba portege m100 gd?
ham,Lol ok. I'll snatch her purse too.,lol ok. i'll snatch her purse too.
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,missed your call cause i was yelling at scrappy. miss u. can't wait for u to come home. i'm so lonely today.
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,excellent. i spent &lt;#&gt; years in the air force. iraq and afghanistan. i am stable and honest. do you like traveling?
ham,How much is torch in 9ja.,how much is torch in 9ja.
ham,I am not having her number sir,i am not having her number sir
spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,you will be receiving this week's triple echo ringtone shortly. enjoy it!
ham,We got a divorce. Lol. She.s here,we got a divorce. lol. she.s here
ham,Are you still getting the goods.,are you still getting the goods.
ham,K da:)how many page you want?,k da:)how many page you want?
ham,Still in customer place,still in customer place
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call <PHONE>.
ham,Tell rob to mack his gf in the theater,tell rob to mack his gf in the theater
ham,Long time. You remember me today.,long time. you remember me today.
spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX","hey boys. want hot xxx pics sent direct 2 ur phone? txt porn to 69855, 24hrs free and then just 50p per day. to stop text stopbcm sf wc1n3xx"
ham,"Maybe westshore or hyde park village, the place near my house?","maybe westshore or hyde park village, the place near my house?"
ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second","no idea, i guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,wanna get laid 2nite? want real dogging locations sent direct to ur mobile? join the uk's largest dogging network. txt park to 69696 now! nyt. ec2a. 3lp å£1.50/msg
ham,You still at the game?,you still at the game?
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok,send his number and give reply tomorrow morning for why you said that to him like that ok
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,anything is valuable in only 2 situations: first- before getting it... second- after loosing it...
ham,K.k:)when are you going?,k.k:)when are you going?
ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?","tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?,hello hun how ru? its here by the way. im good. been on 2 dates with that guy i met in walkabout so far. we have to meet up soon. hows everyone else?
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,purity of friendship between two is not about smiling after reading the forwarded message..its about smiling just by seeing the name. gud evng
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,alex knows a guy who sells mids but he's down in south tampa and i don't think i could set it up before like 8
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,splashmobile: choose from 1000s of gr8 tones each wk! this is a subscrition service with weekly tones costing 300p. u have one credit - kick back and enjoy
ham,"St andre, virgil's cream","st andre, virgil's cream"
ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.,ok ill send you with in &lt;decimal&gt; ok.
ham,I'm at work. Please call,i'm at work. please call
ham,Yup ok thanx...,yup ok thanx...
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324","bears pic nick, and tom, pete and ... dick. in fact, all types try gay chat with photo upload call <PHONE> (10p/min). 2 stop texts call <PHONE>"
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!","thank you so much. when we skyped wit kz and sura, we didnt get the pleasure of your company. hope you are good. we've given you ultimatum oh! we are countin down to aburo. enjoy!"
ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,okay lor... wah... like that def they wont let us go... haha... what did they say in the terms and conditions?
ham,"Just making dinner, you ?","just making dinner, you ?"
ham,Haha... Hope Ì_ can hear the receipt sound... Gd luck!,haha... hope ì_ can hear the receipt sound... gd luck!
ham,How was txting and driving,how was txting and driving
ham,I just really need shit before tomorrow and I know you won't be awake before like 6,i just really need shit before tomorrow and i know you won't be awake before like 6
ham,If you have belive me. Come to my home.,if you have belive me. come to my home.
ham,"Didn't try, g and I decided not to head out","didn't try, g and i decided not to head out"
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try","8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
spam,"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.","for ur chance to win å£250 cash every wk txt: play to 83370. t's&c's <URL> custcare <PHONE>, 1x150p/wk."
ham,Water logging in desert. Geoenvironmental implications.,water logging in desert. geoenvironmental implications.
ham,"K I'm leaving soon, be there a little after 9","k i'm leaving soon, be there a little after 9"
ham,Dear got bus directly to calicut,dear got bus directly to calicut
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,yes we were outside for like 2 hours. and i called my whole family to wake them up cause it started at 1 am
spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call","had your mobile 10 mths? update to the latest camera/video phones for free. keep ur same number, get extra free mins/texts. text yes for a call"
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..","not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
ham,Enjoy urself tmr...,enjoy urself tmr...
ham,"G says you never answer your texts, confirm/deny","g says you never answer your texts, confirm/deny"
ham,I dont thnk its a wrong calling between us,i dont thnk its a wrong calling between us
ham,Hanging out with my brother and his family,hanging out with my brother and his family
ham,I'm always looking for an excuse to be in the city.,i'm always looking for an excuse to be in the city.
ham,No..its ful of song lyrics..,no..its ful of song lyrics..
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING","isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. i jst did it.. takecare..:) goodmorning"
ham,No da..today also i forgot..,no da..today also i forgot..
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..","enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,lul im gettin some juicy gossip at the hospital. two nurses are talking about how fat they are gettin. and one thinks shes obese. oyea.
ham,When can Ì_ come out?,when can ì_ come out?
ham,Dear where you will be when i reach there,dear where you will be when i reach there
ham,You will go to walmart. I.ll stay.,you will go to walmart. i.ll stay.
ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.","for you information, ikea is spelled with all caps. that is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. it makes me want to listen to you less."
ham,"Just checked out, heading out to drop off my stuff now","just checked out, heading out to drop off my stuff now"
ham,Do you hide anythiing or keeping distance from me,do you hide anythiing or keeping distance from me
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........","waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,zindgi wo nahi he jo hum sochte hai zindgi wo hai jo ham jeetey hai.........."
ham,I dont know why she.s not getting your messages,i dont know why she.s not getting your messages
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,u have won a nokia 6230 plus a free digital camera. this is what u get when u win our free auction. to take part send nokia to 83383 now. pobox114/14tcr/w1 16
ham,I'll text now! All creepy like so he won't think that we forgot,i'll text now! all creepy like so he won't think that we forgot
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe","hey sexy buns ! have i told you ? i adore you, loverboy. i hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,good afternoon my boytoy. how goes that walking here and there day ? did you get that police abstract? are you still out and about? i wake and miss you babe
ham,Howz that persons story,howz that persons story
ham,Did u download the fring app?,did u download the fring app?
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.","oh rite. well im with my best mate pete, who i went out with 4 a week+ now were 2geva again. its been longer than a week."
ham,Ok but tell me half an hr b4 u come i need 2 prepare.,ok but tell me half an hr b4 u come i need 2 prepare.
ham,No. Thank you. You've been wonderful,no. thank you. you've been wonderful
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,you won't believe it but it's true. it's incredible txts! reply g now to learn truly amazing things that will blow your mind. from o2fwd only 18p/txt
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,you have to pls make a note of all she.s exposed to. also find out from her school if anyone else was vomiting. is there a dog or cat in the house? let me know later.
ham,Only saturday and sunday holiday so its very difficult:),only saturday and sunday holiday so its very difficult:)
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,sorry dude. dont know how i forgot. even after dan reminded me. sorry. hope you guys had fun.
ham,Kinda. First one gets in at twelve! Aah. Speak tomo,kinda. first one gets in at twelve! aah. speak tomo
spam,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,txt: call to no: 86888 & claim your reward of 3 hours talk time to use from your phone now! subscribe6gbp/mnth inc 3hrs 16 stop?txtstop <URL>
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)","living is very simple.. loving is also simple.. laughing is too simple.. winning is tooo simple.. but, being 'simple' is very difficult...;-) :-)"
ham,What does the dance river do?,what does the dance river do?
ham,Dude im no longer a pisces. Im an aquarius now.,dude im no longer a pisces. im an aquarius now.
ham,Please tell me not all of my car keys are in your purse,please tell me not all of my car keys are in your purse
ham,Shall call now dear having food,shall call now dear having food
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk","win: we have a winner! mr. t. foley won an ipod! more exciting prizes soon, so keep an eye on ur mobile or visit <URL>"
ham,Wah... Okie okie... Muz make use of e unlimited... Haha... ,wah... okie okie... muz make use of e unlimited... haha...
ham,"Did you say bold, then torch later. Or one torch and 2bold?","did you say bold, then torch later. or one torch and 2bold?"
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,i'm doing da intro covers energy trends n pros n cons... brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,"Hiya, had a good day? Have you spoken to since the weekend?","hiya, had a good day? have you spoken to since the weekend?"
ham,Only once then after ill obey all yours.,only once then after ill obey all yours.
ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,are you happy baby ? are you alright ? did you take that job ? i hope your fine. i send you a kiss to make you smile from across the sea ... *kiss* *kiss*
ham,Mm yes dear look how i am hugging you both. :-P,mm yes dear look how i am hugging you both. :-p
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm","congrats! 2 mobile 3g videophones r yours. call <PHONE> now! videochat wid ur mates, play java games, dload polyh music, noline rentl. bx420. ip4. 5we. 150pm"
ham,S.i'm watching it in live..,s.i'm watching it in live..
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.","she is our sister.. she belongs 2 our family.. she is d hope of tomorrow.. pray 4 her,who was fated 4 d shoranur train incident. lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. pls join in dis chain &amp; pass it. stop violence against women."
ham,Still chance there. If you search hard you will get it..let have a try :),still chance there. if you search hard you will get it..let have a try :)
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327","you have won ?1,000 cash or a ?2,000 prize! to claim, call09050000327"
spam,Adult 18 Content Your video will be with you shortly,adult 18 content your video will be with you shortly
ham,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,\can i please come up now imin town.dontmatter if urgoin outl8r
ham,Lemme know when you're here,lemme know when you're here
ham,Hey. You got any mail?,hey. you got any mail?
ham,It means u could not keep ur words.,it means u could not keep ur words.
ham,Jay says that you're a double-faggot,jay says that you're a double-faggot
ham,* Am on my way,* am on my way
ham,"(No promises on when though, haven't even gotten dinner yet)","(no promises on when though, haven't even gotten dinner yet)"
ham,Well i know Z will take care of me. So no worries.,well i know z will take care of me. so no worries.
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,kind of. took it to garage. centre part of exhaust needs replacing. part ordered n taking it to be fixed tomo morning.
ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen","good afternoon on this glorious anniversary day, my sweet j !! i hope this finds you happy and content, my prey. i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... you cougar-pen"
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,awww dat is sweet! we can think of something to do he he! have a nice time tonight ill probably txt u later cos im lonely :( xxx.
ham,Pandy joined 4w technologies today.he got job..,pandy joined 4w technologies today.he got job..
ham,Like a personal sized or what,like a personal sized or what
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,gr8. so how do you handle the victoria island traffic. plus when's the album due
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),no we sell it all so we'll have tons if coins. then sell our coins to someone thru paypal. voila! money back in life pockets:)
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! hope to see you soon love and kisses xxx
spam,Todays Voda numbers ending with 7634 are selected to receive a å£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,todays voda numbers ending with 7634 are selected to receive a å£350 reward. if you have a match please call <PHONE> quoting claim code 7684 standard rates apply.
ham,Hello- thanx for taking that call. I got a job! Starts on monday!,hello- thanx for taking that call. i got a job! starts on monday!
ham,I'll let you know when it kicks in,i'll let you know when it kicks in
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,private! your 2003 account statement for shows 800 un-redeemed s. i. m. points. call <PHONE> identifier code: 42810 expires 29/10/0
ham,What is your record for one night? :),what is your record for one night? :)
ham,Well boy am I glad G wasted all night at applebees for nothing,well boy am i glad g wasted all night at applebees for nothing
ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""","\alrite hunny!wot u up 2 2nite? didnt end up goin down town jus da pub instead! jus chillin at da mo in me bedroom!love jen xxx.\"""""
spam,08714712388 between 10am-7pm Cost 10p,<PHONE> between 10am-7pm cost 10p
ham,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)","dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
ham,It's justbeen overa week since we broke up and already our brains are going to mush!,it's justbeen overa week since we broke up and already our brains are going to mush!
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS","u've been selected to stay in 1 of 250 top british hotels - for nothing! holiday valued at å£350! dial <PHONE> to claim - national rate call. bx526, sw73ss"
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,your credits have been topped up for <URL> your renewal pin is tgxxrz
ham,ÌÏ only send me the contents page...,ìï only send me the contents page...
spam,Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,promotion number: 8714714 - ur awarded a city break and could win a å£200 summer shopping spree every wk. txt store to 88039 . skilgme. tscs087147403231winawk!age16 å£1.50perwksub
ham,ok....take care.umma to you too...,ok....take care.umma to you too...
ham,You got called a tool?,you got called a tool?
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,private! your 2004 account statement for 078498****7 shows 786 unredeemed bonus points. to claim call <PHONE> identifier code: 45239 expires 06.05.05
ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,k ill drink.pa then what doing. i need srs model pls send it to my mail id pa.
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.","cool, we shall go and see, have to go to tip anyway. are you at home, got something to drop in later? so lets go to town tonight! maybe mum can take us in."
ham,Its good to hear from you,its good to hear from you
ham,"Text me when you get off, don't call, my phones having problems","text me when you get off, don't call, my phones having problems"
spam,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p ","someone u know has asked our dating service 2 contact you! cant guess who? call <PHONE> now all will be revealed. pobox 6, ls15hb 150p"
ham,"Wat time liao, where still got.","wat time liao, where still got."
ham,God bless.get good sleep my dear...i will pray!,god bless.get good sleep my dear...i will pray!
ham,Have you been practising your curtsey?,have you been practising your curtsey?
ham,Who u talking about?,who u talking about?
ham,Dear where you. Call me,dear where you. call me
ham,Okie... Thanx...,okie... thanx...
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,kaiez... enjoy ur tuition... gee... thk e second option sounds beta... i'll go yan jiu den msg u...
ham,Hi Harish's rent has been transfred to ur Acnt.,hi harish's rent has been transfred to ur acnt.
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,hi darlin ive just got back and i had a really nice night and thanks so much for the lift see u tomorrow xxx
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ","ok that would b lovely, if u r sure. think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... up to u! wot about ?"
ham,Sorry for the delay. Yes masters,sorry for the delay. yes masters
ham,Thanx a lot 4 ur help!,thanx a lot 4 ur help!
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,true dear..i sat to pray evening and felt so.so i sms'd you in some time...
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,my love ... i hope your not doing anything drastic. don't you dare sell your pc or your phone ...
ham,His bday real is in april .,his bday real is in april .
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype,he's in lag. that's just the sad part but we keep in touch thanks to skype
ham,Thank u!,thank u!
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,hello my little party animal! i just thought i'd buzz you as you were with your friends ...*grins*... reminding you were loved and send a naughty adoring kiss
ham,Sday only joined.so training we started today:),sday only joined.so training we started today:)
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..","house-maid is the murderer, coz the man was murdered on &lt;#&gt; th january.. as public holiday all govt.instituitions are closed,including post office.."
ham,Just do what ever is easier for you,just do what ever is easier for you
ham,Ok then no need to tell me anything i am going to sleep good night,ok then no need to tell me anything i am going to sleep good night
spam,Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,reply to win å£100 weekly! what professional sport does tiger woods play? send stop to 87239 to end service
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,no * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! loving u
ham,"K so am I, how much for an 8th? Fifty?","k so am i, how much for an 8th? fifty?"
ham,Dont pick up d call when something important is There to tell. Hrishi,dont pick up d call when something important is there to tell. hrishi
ham,How many licks does it take to get to the center of a tootsie pop?,how many licks does it take to get to the center of a tootsie pop?
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,goldviking (29/m) is inviting you to be his friend. reply yes-762 or no-762 see him: <URL> stop? send stop frnd to 62468
ham,"Yes, princess. Toledo.","yes, princess. toledo."
ham,Apo all other are mokka players only,apo all other are mokka players only
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,i really need 2 kiss u i miss u my baby from ur baby 4eva
ham,"Yes..but they said its IT.,","yes..but they said its it.,"
ham,I dled 3d its very imp,i dled 3d its very imp
ham,I.ll hand her my phone to chat wit u,i.ll hand her my phone to chat wit u
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,so now my dad is gonna call after he gets out of work and ask all these crazy questions.
ham,I will come tomorrow di,i will come tomorrow di
ham,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,either way works for me. i am &lt;#&gt; years old. hope that doesnt bother you.
ham,"That's cool he'll be here all night, lemme know when you're around","that's cool he'll be here all night, lemme know when you're around"
ham,Yup...,yup...
spam,85233 FREE>Ringtone!Reply REAL,85233 free>ringtone!reply real
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,we are supposed to meet to discuss abt our trip... thought xuhui told you? in the afternoon. thought we can go for lesson after that
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,hi darlin its kate are u up for doin somethin tonight? im going to a pub called the swan or something with my parents for one drink so phone me if u can
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,december only! had your mobile 11mths+? you are entitled to update to the latest colour camera mobile for free! call the mobile update co free on <PHONE>
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,who were those people ? were you in a tour ? i thought you were doing that sofa thing you sent me ? your curious sugar
ham,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!","im in inperialmusic listening2the weirdest track ever byåóleafcutter johnåó-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,hey ! don't forget ... you are mine ... for me ... my possession ... my property ... mmm ... *childish smile* ...
ham,The wine is flowing and i'm i have nevering..,the wine is flowing and i'm i have nevering..
ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*","geeee ... i miss you already, you know ? your all i can think about. fuck, i can't wait till next year when we will be together ... *loving kiss*"
ham,Ha ha - had popped down to the loo when you hello-ed me. Hello!,ha ha - had popped down to the loo when you hello-ed me. hello!
ham,Jus finish bathing...,jus finish bathing...
ham,"Ok, be careful ! Don't text and drive !","ok, be careful ! don't text and drive !"
ham,She doesnt need any test.,she doesnt need any test.
ham,I could ask carlos if we could get more if anybody else can chip in,i could ask carlos if we could get more if anybody else can chip in
ham,Tired. I haven't slept well the past few nights.,tired. i haven't slept well the past few nights.
ham,Stupid.its not possible,stupid.its not possible
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing,its like that hotel dusk game i think. you solve puzzles in a area thing
ham,Surly ill give it to you:-) while coming to review.,surly ill give it to you:-) while coming to review.
